"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030258","lipid modification","39/2326","222/21273",0.175675675675676,1.6066847156701,3.1837720457353,0.00192278478405756,0.0257879371038309,0.0212584461505367,"MTMR3/ALOX5/INPP5D/MAPK14/GBA1/MBOAT1/ACAA1/PLPPR2/APPL2/A3GALT2/IRS2/CROT/MTMR10/ACOX1/MTMR4/PLIN5/PLPP1/MBOAT7/ABCD2/INPP5A/DGKD/DGKG/BDH2/ALOX15B/CYGB/SYNJ1/PLPP3/LPCAT3/ECI2/PIP4P2/AGK/SLC25A17/INPPL1/ADH5/PTEN/ACADM/ST3GAL4/GBA2/MTMR2",39
"GO:2000107","negative regulation of leukocyte apoptotic process","16/2326","67/21273",0.238805970149254,2.18405821280528,3.40110364734672,0.00194616872958255,0.0260448145637178,0.0214702046803604,"HCLS1/FADD/BCL6/TSC22D3/IRS2/BCL3/JAK3/ST6GAL1/DOCK8/BCL2/KIFAP3/NOD2/BCL11B/ADA/BCL10/PRKCQ",16
"GO:0032510","endosome to lysosome transport via multivesicular body sorting pathway","7/2326","18/21273",0.388888888888889,3.55667813126971,3.80207381681392,0.00197701152478794,0.0262294891090399,0.021622442289026,"CHMP3/CHMP2A/CHMP1B/CHMP5/CHMP1A/LYST/CHMP4B",7
"GO:0034134","toll-like receptor 2 signaling pathway","7/2326","18/21273",0.388888888888889,3.55667813126971,3.80207381681392,0.00197701152478794,0.0262294891090399,0.021622442289026,"TLR2/LYN/TLR1/MFHAS1/TLR6/NOD2/PIK3AP1",7
"GO:0045064","T-helper 2 cell differentiation","7/2326","18/21273",0.388888888888889,3.55667813126971,3.80207381681392,0.00197701152478794,0.0262294891090399,0.021622442289026,"RARA/HLX/PRKCZ/BCL6/BCL3/IL4R/GATA3",7
"GO:0045651","positive regulation of macrophage differentiation","7/2326","18/21273",0.388888888888889,3.55667813126971,3.80207381681392,0.00197701152478794,0.0262294891090399,0.021622442289026,"HCLS1/FADD/TRIB1/CASP8/RIPK1/CALCA/CSF1",7
"GO:0045582","positive regulation of T cell differentiation","30/2326","159/21273",0.188679245283019,1.72561203134379,3.21778163349656,0.00201295258546126,0.0266237504430503,0.021947454068935,"STAT5B/RARA/HLX/PRKCZ/SMARCD3/BCL6/RASGRP1/SYK/FOXO3/IL4R/ZBTB7B/LILRB2/CR1/ACTL6A/ZBTB1/MALT1/VNN1/GATA3/ADA/BRD4/PHF10/ACTL6B/RHOA/RHOH/NFKBID/IL1RL2/SASH3/NFKBIZ/ZBTB16/IL4",30
"GO:0051098","regulation of binding","41/2326","237/21273",0.172995780590717,1.58217508190298,3.15780272143574,0.002015378119958,0.0266237504430503,0.021947454068935,"MARK2/RIPOR2/RALB/FLOT1/RARA/PSEN1/HDAC4/PSME3IP1/DAZAP2/TXN/PCSK9/BCL3/TRIM21/PLAUR/CARD16/MED25/MMP9/LRPAP1/TIAM1/SKI/NMD3/GOLGA2/LRRK2/GEMIN2/GATA3/GTF2B/GTPBP4/EIF3E/B2M/KDM1A/ROCK1/RAN/EPHA4/HDAC5/GZMA/FKBP1A/PARP9/FOXC1/IDE/RAPGEF2/MARK3",41
"GO:0008286","insulin receptor signaling pathway","34/2326","187/21273",0.181818181818182,1.66286250293129,3.18996519319252,0.00202601893895901,0.0267070076835796,0.0220160876923732,"RAF1/PRKCD/PTPRE/GRB10/PRKCZ/ZNF592/NDEL1/GRB2/NUCKS1/MAPK3/MAPK1/PRKCB/IRS2/SOS2/GNAI2/ZBTB7B/PIP4K2C/SNX5/PDPK1/NCK1/PTPRJ/FLT1/FLT3/APC/PRKCQ/SH2B2/EPHB4/EPHA4/NTRK3/SOCS3/SLC39A14/IDE/FER/SORL1",34
"GO:0002090","regulation of receptor internalization","19/2326","86/21273",0.22093023255814,2.02057129716651,3.32274208436336,0.00206307346633475,0.0271373509802494,0.0223708438623478,"NUMB/ARRB2/ANKRD13A/FLOT1/PLCG2/NECAB2/PCSK9/SYK/CBLB/MDM2/LRPAP1/PICK1/ATAD1/ARF1/SYNE1/ANKRD13D/CD63/MTMR2/RIN3",19
"GO:0002313","mature B cell differentiation involved in immune response","10/2326","33/21273",0.303030303030303,2.77143750488548,3.56816015200954,0.00207502916435686,0.027178467097406,0.022404738188946,"PTK2B/PLCG2/BCL6/BCL3/PHF14/CR1/ADA/DOCK10/NOTCH2/NFKBIZ",10
"GO:1904358","positive regulation of telomere maintenance via telomere lengthening","10/2326","33/21273",0.303030303030303,2.77143750488548,3.56816015200954,0.00207502916435686,0.027178467097406,0.022404738188946,"FBXO4/CCT6A/CCT2/POT1/CCT3/DHX36/ATR/NAF1/CCT4/CTNNB1",10
"GO:0050670","regulation of lymphocyte proliferation","55/2326","341/21273",0.161290322580645,1.47511996227776,3.09894518259899,0.0020910492236758,0.0273301465412914,0.0225297760807712,"RIPOR2/STAT5B/INPP5D/ARG1/FADD/CD55/PTPN6/MYD88/BCL6/NFATC2/RIPK3/TYK2/LYN/HLA-E/IRS2/TLR4/VAV3/SOS2/SYK/VSIG4/CBLB/IRF1/CEBPB/ZBTB7B/TNFRSF1B/BCL2/TYROBP/PELI1/LILRB2/CR1/CD28/MNDA/NCK1/SPN/BST1/CD300A/ADA/CD6/PRKCQ/AGER/RC3H1/BID/HHLA2/TMEM131L/CCR2/SASH3/PRNP/CD3E/CTNNB1/CTLA4/DLG1/IL4/TNFRSF14/CD274/LGALS9C",55
"GO:0032204","regulation of telomere maintenance","27/2326","139/21273",0.194244604316547,1.77651137903091,3.21812687838093,0.00213656355516615,0.0278273256191946,0.0229396287422006,"SMG5/MAPK3/PPP1R10/MAPK1/UPF1/TP53/FBXO4/CCT6A/HNRNPC/ACTL6A/CCT2/POT1/CCT3/MAP2K7/PRKCQ/DHX36/ATR/NAT10/RUVBL1/NSMCE3/NSMCE4A/NAF1/MAPKAPK5/RAD50/CCT4/CTNNB1/GNL3",27
"GO:0002695","negative regulation of leukocyte activation","45/2326","267/21273",0.168539325842697,1.54141748867226,3.11928473567196,0.00214731260135848,0.0278273256191946,0.0229396287422006,"RIPOR2/INPP5D/FGR/ARG1/SAMSN1/HLX/LAPTM5/PTPN6/BCL6/MILR1/LYN/HLA-E/VSIG4/PAG1/CBLB/IRF1/IL4R/JAK3/CEBPB/STAT5A/ZBTB7B/CX3CL1/PGLYRP1/TYROBP/PELI1/LILRB2/CR1/MNDA/DUSP22/SPN/CD300A/DUSP3/GPER1/RC3H1/CD69/LAX1/TNFAIP8L2/TMEM131L/PRNP/FER/CTLA4/DLG1/TNFRSF14/CD274/LGALS9C",45
