"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070661","leukocyte proliferation","29/605","448/21273",0.0647321428571429,2.27611053719008,4.6705434834684,3.76342306373029e-05,0.00348385449328176,0.00319021856272389,"EPHB2/CR2/CD22/MS4A1/CD40/FCRL3/CD19/CCL8/FLT3/CD28/IRS2/BST2/TNFRSF13C/IL4I1/CD40LG/CD79A/VSIG4/ADA/MEF2C/IL7R/IL2RA/MAPK1/AHR/TNFRSF9/NPR3/JAK2/PAWR/BCL2/BTN2A2",29
"GO:0007204","positive regulation of cytosolic calcium ion concentration","16/605","174/21273",0.0919540229885057,3.23328583642063,5.06081687552677,3.92495322197548e-05,0.00356071756297616,0.00326060324503479,"CXCL13/CCR6/CYSLTR1/PML/CXCR5/P2RX5/ASPH/SWAP70/CCR1/CCRL2/NPTN/SAA1/JAK2/ABL2/BCL2/CCL28",16
"GO:0032608","interferon-beta production","10/605","74/21273",0.135135135135135,4.75161938798303,5.53107525008684,4.49025058789151e-05,0.0039168801282069,0.0035867467246599,"OAS2/OAS3/IFIH1/OAS1/ISG15/RIGI/NMI/IRF7/TRIM38/TLR7",10
"GO:0032648","regulation of interferon-beta production","10/605","74/21273",0.135135135135135,4.75161938798303,5.53107525008684,4.49025058789151e-05,0.0039168801282069,0.0035867467246599,"OAS2/OAS3/IFIH1/OAS1/ISG15/RIGI/NMI/IRF7/TRIM38/TLR7",10
"GO:0050777","negative regulation of immune response","23/605","322/21273",0.0714285714285714,2.51157024793388,4.67612934594247,5.42078430840139e-05,0.00463937313639787,0.0042483445642407,"USP18/OAS3/OAS1/ISG15/DHX58/PARP14/IFI16/CR2/NMI/SERPING1/STAT2/IL4I1/SAMHD1/PARP1/VSIG4/ADAR/IL7R/PLCG1/AHR/CD160/SLAMF8/TRIM21/TRAFD1",23
"GO:0030890","positive regulation of B cell proliferation","8/605","49/21273",0.163265306122449,5.74073199527745,5.68410967299913,6.58673233461125e-05,0.00553285516107345,0.00506651964763664,"EPHB2/CD40/FCRL3/IRS2/TNFRSF13C/ADA/MEF2C/BCL2",8
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT","14/605","145/21273",0.096551724137931,3.39495012824166,4.95089714889905,6.94767008405121e-05,0.0056573920494196,0.00518055997099456,"EPHB2/CCL2/PARP14/CD40/FLT3/NMI/GBP7/STAT2/PARP9/IL7R/STAT1/JAK2/PTPRD/CISH",14
"GO:0097553","calcium ion transmembrane import into cytosol","17/605","202/21273",0.0841584158415842,2.95917682677359,4.7867348290316,6.98443462891309e-05,0.0056573920494196,0.00518055997099456,"CXCL10/MS4A1/CXCL9/CD19/PML/CXCL11/DDIT3/NALF2/PRKCE/P2RX5/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1/BCL2",17
"GO:1903169","regulation of calcium ion transmembrane transport","16/605","183/21273",0.087431693989071,3.07427177889175,4.82153736504824,7.20929439658862e-05,0.00573708059349578,0.0052535319831835,"CXCL10/MS4A1/CXCL9/CD19/PML/CXCL11/TSPAN13/PRKCE/P2RX5/ASPH/TMC2/ANK2/UBASH3B/PLCG1/ATP1A2/BCL2",16
"GO:0051924","regulation of calcium ion transport","21/605","288/21273",0.0729166666666667,2.56389462809917,4.57174362561407,8.45177362660243e-05,0.00650384549122846,0.00595567026556843,"CCL2/CXCL10/MS4A1/FCRL3/CXCL9/CD19/PML/CXCL11/TSPAN13/PRKCE/P2RX5/ASPH/TMC2/CCR1/ANK2/UBASH3B/PLCG1/CXCL12/ATP1A2/BCL2/CAMK2G",21
"GO:0039529","RIG-I signaling pathway","7/605","38/21273",0.184210526315789,6.4772074815137,5.78172566842436,8.51864002572634e-05,0.00650384549122846,0.00595567026556843,"DDX60/OAS3/OASL/DHX58/RIGI/BIRC3/UFD1",7
