ID,Description,p.adjust,parent,parentTerm,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,qvalue,geneID,Count,cluster,score,size,term,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0006874,intracellular calcium ion homeostasis,0.0133590958488619,GO:0006874,intracellular calcium ion homeostasis,22/605,331/21273,0.0664652567975831,2.33705026091733,4.19454903171106,2.1985212179996e-4,0.0122331273135638,CXCL10/CD40/CXCL9/CD19/CCL8/PML/CXCL11/CCL7/CCL13/DDIT3/PRKCE/ASPH/CCR1/ANK2/UBASH3B/PLCG1/CXCL12/ATP1A2/ITPR1/CNR1/NPTN/BCL2,22,16,1.8742229341612047,306,intracellular calcium ion homeostasis,0.94978125,0.505,0
GO:0006816,calcium ion transport,0.0133590958488619,GO:0097553,calcium ion transmembrane import into cytosol,29/605,496/21273,0.0584677419354839,2.05584177552653,4.07081046910928,2.2088452131054e-4,0.0122331273135638,CCL2/CXCL10/MS4A1/FCRL3/CXCL9/CYSLTR1/CD19/CCL8/PML/CXCL11/TSPAN13/DDIT3/GRIN3A/NALF2/PRKCE/P2RX5/ASPH/TMC2/CCR1/ANK2/UBASH3B/PLCG1/CXCL12/ATP1A2/ITPR1/CACHD1/ANO9/BCL2/CAMK2G,29,13,1.8742229341612047,447,calcium ion transport,0.91096875,0.26875000000000004,0.904
GO:0050854,regulation of antigen receptor-mediated signaling pathway,0.0142179698647159,GO:0042113,B cell activation,10/605,90/21273,0.111111111111111,3.9068870523416,4.72811795032306,2.3821995364162e-4,0.0130196113167569,STAP1/CD22/FCRL3/CD72/CD19/ADA/GBP1/CD160/PAWR/BTN2A2,10,4,1.8471624106030313,73,regulation of antigen receptor-mediated signaling pathway,0.7146250000000001,0.3464117647058823,0.411
GO:0071216,cellular response to biotic stimulus,0.0146226877888522,GO:0051607,defense response to virus,22/605,334/21273,0.0658682634730539,2.31605879150789,4.14766028981436,2.4938843989734e-4,0.0133902176772512,CMPK2/AXL/TRIM5/EPHB2/CCL2/STAP1/CXCL13/CXCL10/CD40/CXCL9/DDIT3/PRKCE/KMO/TLR10/CHMP5/MEF2C/MAPK1/AHR/DAB2IP/JAK2/TIGAR/CCL28,22,1,1.8349727925915102,273,cellular response to biotic stimulus,0.8214609374999999,0.4939,0.586
GO:0050691,regulation of defense response to virus by host,0.0146226877888522,GO:0051607,defense response to virus,8/605,59/21273,0.135593220338983,4.76772657234907,4.95823063881593,2.5245824147782e-4,0.0133902176772512,TRIM22/RIGI/TRIM6/DTX3L/PML/PARP9/IFNLR1/STAT1,8,1,1.8349727925915102,45,regulation of defense response to virus by host,0.7583359375000001,0.3849,0.847
GO:0001662,behavioral fear response,0.0146226877888522,GO:0001662,behavioral fear response,7/605,45/21273,0.155555555555556,5.46964187327824,5.13519650934987,2.5789572819845e-4,0.0133902176772512,EPHB2/GNG7/MEF2C/LARGE1/ATP1A2/BCL2/LYPD1,7,17,1.8349727925915102,43,behavioral fear response,0.8296250000000001,0.33699999999999997,0
GO:0044786,cell cycle DNA replication,0.0146226877888522,GO:0044786,cell cycle DNA replication,7/605,45/21273,0.155555555555556,5.46964187327824,5.13519650934987,2.5789572819845e-4,0.0133902176772512,BRCA2/PCNA/GINS1/MCM6/E2F7/MCM3/FEN1,7,18,1.8349727925915102,45,cell cycle DNA replication,0.9673125,0.356,0
GO:0071887,leukocyte apoptotic process,0.014687025573799,GO:0097193,intrinsic apoptotic signaling pathway,13/605,145/21273,0.0896551724137931,3.15245369051012,4.44960281795415,2.6226831381783e-4,0.0134491327657595,AXL/IRF7/IRS2/ADA/GIMAP8/MEF2C/IL7R/IL2RA/CXCL12/CTSL/PIP/BCL2/BIRC7,13,10,1.8330661489124562,124,leukocyte apoptotic process,0.96734375,0.42366666666666664,0.563
GO:0055074,calcium ion homeostasis,0.015513652648179,GO:0006874,intracellular calcium ion homeostasis,23/605,360/21273,0.0638888888888889,2.24646005509642,4.08088230898219,2.8220124768336e-4,0.0142060877540412,CXCL10/CD40/CXCL9/CD19/CCL8/PML/CXCL11/CCL7/NT5E/CCL13/DDIT3/PRKCE/ASPH/CCR1/ANK2/UBASH3B/PLCG1/CXCL12/ATP1A2/ITPR1/CNR1/NPTN/BCL2,23,16,1.809285936668289,331,calcium ion homeostasis,0.9500625,0.505,0.99
GO:0032943,mononuclear cell proliferation,0.015513652648179,GO:0042100,B cell proliferation,25/605,407/21273,0.0614250614250614,2.15982699453774,4.04206635545053,2.8386974642832e-4,0.0142060877540412,EPHB2/CR2/CD22/MS4A1/CD40/FCRL3/CD19/FLT3/CD28/IRS2/TNFRSF13C/IL4I1/CD40LG/CD79A/VSIG4/ADA/MEF2C/IL7R/IL2RA/AHR/TNFRSF9/JAK2/PAWR/BCL2/BTN2A2,25,5,1.809285936668289,308,mononuclear cell proliferation,0.950859375,0.2112857142857143,0.887
GO:0002209,behavioral defense response,0.0160278674258944,GO:0001662,behavioral fear response,7/605,46/21273,0.152173913043478,5.35073661516349,5.05393930189302,2.9681235973878e-4,0.0146769620492387,EPHB2/GNG7/MEF2C/LARGE1/ATP1A2/BCL2/LYPD1,7,17,1.7951242584804548,44,behavioral defense response,0.8347265625,0.565,0.998
GO:0097529,myeloid leukocyte migration,0.0166860039854634,GO:0030595,leukocyte chemotaxis,19/605,272/21273,0.0698529411764706,2.45616796305299,4.13531464617474,3.1267864611207e-4,0.0152796277096998,CCL2/STAP1/CXCL13/CXCL10/CXCL9/CCL8/CD200/CCL7/CCL13/SWAP70/CCR1/DAPK2/MAPK1/CXCL12/SAA1/SLAMF8/PTPRO/PIK3R1/CCL28,19,14,1.777647657020652,237,myeloid leukocyte migration,0.836875,0.27849999999999997,0.885
GO:0051928,positive regulation of calcium ion transport,0.0180661212100892,GO:0097553,calcium ion transmembrane import into cytosol,12/605,130/21273,0.0923076923076923,3.2457215511761,4.394170468639,3.4252346209604e-4,0.0165434220493391,CCL2/CXCL10/MS4A1/CXCL9/CD19/CXCL11/P2RX5/ASPH/CCR1/ANK2/PLCG1/CXCL12,12,13,1.7431350803043997,117,positive regulation of calcium ion transport,0.838359375,0.2090833333333333,0.774
GO:0042832,defense response to protozoan,0.0183548786481559,GO:0051607,defense response to virus,6/605,34/21273,0.176470588235294,6.20505590666019,5.19673352225447,3.5204463015643e-4,0.0168078416285211,CD40/GBP7/BATF2/GBP4/GBP1/IRF4,6,1,1.7362484824544908,29,defense response to protozoan,0.8318125000000001,0.5238,0.525
GO:0043123,positive regulation of canonical NF-kappaB signal transduction,0.0220351992325065,GO:0030522,intracellular receptor signaling pathway,18/605,257/21273,0.0700389105058366,2.46270701353828,4.03628197640231,4.3175845465711e-4,0.0201779671798642,IFIT5/TRIM5/TRIM22/CUL1/BIRC3/CD40/TRIM38/TLR7/PRKCE/BST2/CASP8/APOL3/CD40LG/PARP1/DDX21/TRAF5/SHISA5/DAB2IP,18,7,1.6568830184380638,214,positive regulation of canonical NF-kappaB signal transduction,0.7911015625,0.5991666666666666,0.513
GO:0034764,positive regulation of transmembrane transport,0.0220351992325065,GO:0097553,calcium ion transmembrane import into cytosol,16/605,214/21273,0.0747663551401869,2.62893334363173,4.097547065222,4.3479052129917e-4,0.0201779671798642,EPHB2/CCL2/CXCL10/MS4A1/CXCL9/CD19/CXCL11/IRS2/P2RX5/ASPH/ATP1B3/ANK2/AZIN1/PLCG1/HEPH/PIK3R1,16,13,1.6568830184380638,211,positive regulation of transmembrane transport,0.8418046875,0.3330833333333333,0.585
GO:2000106,regulation of leukocyte apoptotic process,0.0220351992325065,GO:0097193,intrinsic apoptotic signaling pathway,11/605,115/21273,0.0956521739130435,3.36332015810277,4.34777234873335,4.4176215665391e-4,0.0201779671798642,AXL/IRF7/IRS2/ADA/GIMAP8/MEF2C/IL7R/CXCL12/PIP/BCL2/BIRC7,11,10,1.6568830184380638,95,regulation of leukocyte apoptotic process,0.9250625,0.4265,0.545
GO:0034767,positive regulation of monoatomic ion transmembrane transport,0.0220351992325065,GO:0097553,calcium ion transmembrane import into cytosol,13/605,153/21273,0.0849673202614379,2.98761951061416,4.22147899512281,4.4206418213361e-4,0.0201779671798642,EPHB2/CCL2/CXCL10/MS4A1/CXCL9/CD19/CXCL11/P2RX5/ASPH/ATP1B3/ANK2/PLCG1/HEPH,13,13,1.6568830184380638,152,positive regulation of monoatomic ion transmembrane transport,0.834515625,0.24083333333333334,0.652
GO:0097696,cell surface receptor signaling pathway via STAT,0.0245804147706245,GO:0007259,cell surface receptor signaling pathway via JAK-STAT,14/605,175/21273,0.08,2.81295867768595,4.12020579722447,4.9854456765817e-4,0.0225086597709284,EPHB2/CCL2/PARP14/CD40/FLT3/NMI/GBP7/STAT2/PARP9/IL7R/STAT1/JAK2/PTPRD/CISH,14,12,1.6094107930901795,159,cell surface receptor signaling pathway via STAT,0.842375,0.5085,0.983
GO:1904427,positive regulation of calcium ion transmembrane transport,0.025852602065945,GO:0097553,calcium ion transmembrane import into cytosol,9/605,82/21273,0.109756097560976,3.85924208828865,4.43828055438284,5.3004673547903e-4,0.023673621032261,CXCL10/MS4A1/CXCL9/CD19/CXCL11/P2RX5/ASPH/ANK2/PLCG1,9,13,1.5874957386045028,82,positive regulation of calcium ion transmembrane transport,0.8326875,0.18491666666666662,0.802
GO:0071219,cellular response to molecule of bacterial origin,0.0260328074671416,GO:0051607,defense response to virus,20/605,307/21273,0.0651465798045603,2.29068296228498,3.89729784392395,5.3948057802277e-4,0.0238386378597746,CMPK2/AXL/TRIM5/EPHB2/CCL2/STAP1/CXCL13/CXCL10/CD40/CXCL9/PRKCE/KMO/TLR10/CHMP5/MEF2C/MAPK1/AHR/DAB2IP/JAK2/CCL28,20,1,1.5844789935603623,246,cellular response to molecule of bacterial origin,0.811015625,0.494,0.585
GO:0001818,negative regulation of cytokine production,0.026204313811588,GO:0032606,type I interferon production,27/605,475/21273,0.0568421052631579,1.99868116572423,3.76613167763926,5.5583681081258e-4,0.023995688828675,SIGLEC1/OAS3/XAF1/OAS1/AXL/EPHB2/DHX58/TWIST1/PML/CD200/NMI/GBP7/NDRG2/BANK1/IL1R2/CD83/DDIT3/BST2/LAG3/CD2AP/VSIG4/GBP1/UFD1/NPTN/FN1/SRGN/BTN2A2,27,6,1.5816272082850922,389,negative regulation of cytokine production,0.844234375,0.41680000000000006,0.698
GO:0010212,response to ionizing radiation,0.026204313811588,GO:0010332,response to gamma radiation,13/605,157/21273,0.0828025477707006,2.91150181607622,4.11293018431124,5.6558666848336e-4,0.023995688828675,IFI16/CXCL10/BRCA2/PML/CCL7/YAP1/AEN/PARP1/BRCA1/POLB/INTS7/TIGAR/BCL2,13,9,1.5816272082850922,143,response to ionizing radiation,0.9168046875,0.5389999999999999,0.922
GO:0032607,interferon-alpha production,0.026204313811588,GO:0032606,type I interferon production,6/605,37/21273,0.162162162162162,5.70194326557963,4.89750075144,5.6614258234912e-4,0.023995688828675,IFIH1/RIGI/NMI/IRF7/TLR7/STAT1,6,6,1.5816272082850922,31,interferon-alpha production,0.9144687499999999,0.22740000000000005,0.888
GO:0032647,regulation of interferon-alpha production,0.026204313811588,GO:0032606,type I interferon production,6/605,37/21273,0.162162162162162,5.70194326557963,4.89750075144,5.6614258234912e-4,0.023995688828675,IFIH1/RIGI/NMI/IRF7/TLR7/STAT1,6,6,1.5816272082850922,31,regulation of interferon-alpha production,0.8722578125,0.22720000000000007,0.888
GO:2000107,negative regulation of leukocyte apoptotic process,0.0278939826817352,GO:0097193,intrinsic apoptotic signaling pathway,8/605,67/21273,0.119402985074627,4.19844578759097,4.48621042107666,6.0879724106961e-4,0.0255429443196248,AXL/IRF7/IRS2/ADA/IL7R/CXCL12/PIP/BCL2,8,10,1.5544894730693621,59,negative regulation of leukocyte apoptotic process,0.9049453125,0.44099999999999995,0.524
GO:0051209,release of sequestered calcium ion into cytosol,0.0285327345935345,GO:0051235,maintenance of location,12/605,139/21273,0.0863309352517986,3.03556691836613,4.11940560737592,6.2902854042183e-4,0.0261278591632059,CXCL10/CXCL9/CD19/CXCL11/DDIT3/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1,12,15,1.5446566033177072,131,release of sequestered calcium ion into cytosol,0.8058046875,0.17866666666666664,0.967
GO:0051283,negative regulation of sequestering of calcium ion,0.0301188107270099,GO:0051235,maintenance of location,12/605,140/21273,0.0857142857142857,3.01388429752066,4.0902568444908,6.7063489493562e-4,0.0275802532091296,CXCL10/CXCL9/CD19/CXCL11/DDIT3/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1,12,15,1.5211621807081934,132,negative regulation of sequestering of calcium ion,0.828859375,0.17866666666666664,0.967
GO:0050858,negative regulation of antigen receptor-mediated signaling pathway,0.0320236931047203,GO:0042113,B cell activation,7/605,53/21273,0.132075471698113,4.64403555278341,4.54444104351845,7.2010950103207e-4,0.0293245829832048,CD22/FCRL3/CD72/GBP1/CD160/PAWR/BTN2A2,7,4,1.4945285848928695,38,negative regulation of antigen receptor-mediated signaling pathway,0.7097109375,0.37582352941176467,0.39
GO:0034142,toll-like receptor 4 signaling pathway,0.0327084551783115,GO:0042113,B cell activation,8/605,69/21273,0.115942028985507,4.07675170679123,4.37966326732412,7.4271844871386e-4,0.0299516300319357,OAS1/IFI35/NMI/PIK3AP1/WDFY1/PRKCE/DAB2IP/PIK3R1,8,4,1.4853399671369591,64,toll-like receptor 4 signaling pathway,0.669578125,0.36658823529411766,0.407
GO:0051282,regulation of sequestering of calcium ion,0.0331820152387096,GO:0051235,maintenance of location,12/605,142/21273,0.0845070422535211,2.97143522290769,4.03273126169143,7.6078694550833e-4,0.0303852761839665,CXCL10/CXCL9/CD19/CXCL11/DDIT3/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1,12,15,1.4790972415644053,134,regulation of sequestering of calcium ion,0.848390625,0.1778333333333333,0.969
GO:0062207,regulation of pattern recognition receptor signaling pathway,0.0339020223379075,GO:0042113,B cell activation,17/605,248/21273,0.0685483870967742,2.41029725406558,3.82209186774467,7.8476903559971e-4,0.0310445976388617,DDX60/RSAD2/EIF2AK2/OASL/DHX58/IFI16/IFI35/BIRC3/FCRL3/IRF7/WDFY1/CSNK1A1/PARP1/UFD1/IRF4/DAB2IP/PIK3R1,17,4,1.4697743943043757,191,regulation of pattern recognition receptor signaling pathway,0.6476796874999999,0.34429411764705886,0.446
GO:0035850,epithelial cell differentiation involved in kidney development,0.034549749476933,GO:0035850,epithelial cell differentiation involved in kidney development,7/605,54/21273,0.12962962962963,4.55803489439853,4.47896067670635,8.07379507177e-4,0.0316377312345627,YAP1/CD2AP/PRKX/MEF2C/STAT1/BASP1/PTPRO,7,19,1.4615550973832718,50,epithelial cell differentiation involved in kidney development,0.960640625,1,0
GO:0048524,positive regulation of viral process,0.0346787415864282,GO:1903900,regulation of viral life cycle,8/605,70/21273,0.114285714285714,4.01851239669421,4.32788737116861,8.1803909826891e-4,0.0317558512717083,IFIT1/AXL/CD28/GBP7/TRIM38/KPNA2/ADAR/TRIM21,8,2,1.4599366704803167,64,positive regulation of viral process,0.8746015625,0.23588888888888893,0.914
GO:0042596,fear response,0.0379172372016543,GO:0001662,behavioral fear response,7/605,55/21273,0.127272727272727,4.47516153268219,4.41506133795708,9.0279136194414e-4,0.0347213909769163,EPHB2/GNG7/MEF2C/LARGE1/ATP1A2/BCL2/LYPD1,7,17,1.4211633145773424,49,fear response,0.8551640625,0.5673333333333334,0.991
