"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj"
"ENSG00000184979",16.74,1.8501872659176,14.8898127340824,9.41075464569519e-22,FALSE,6.65380276768474e-19,8.83529596618865e-15
"ENSG00000137959",19.152,4.75280898876404,14.399191011236,1.47406977279579e-23,FALSE,9.79685753305833e-19,8.83529596618865e-15
"ENSG00000088827",31.8,7.65168539325843,24.1483146067416,1.80716069698455e-22,FALSE,1.47402509144688e-17,8.86233019147582e-14
"ENSG00000134326",4.868,1.25468164794007,3.61331835205993,6.47850962927137e-20,FALSE,3.36084290184946e-17,1.51548808551647e-13
"ENSG00000137965",21.272,5.7940074906367,15.4779925093633,1.67638456183231e-21,FALSE,4.93968504645486e-17,1.78194198365813e-13
"ENSG00000111335",2.844,0.359550561797753,2.48444943820225,2.10826092304438e-21,FALSE,1.10655716462596e-16,3.32649526305974e-13
"ENSG00000165949",24.752,2.78277153558052,21.9692284644195,2.88533045536932e-19,FALSE,1.88448923540017e-16,4.01543519187041e-13
"ENSG00000137628",34.228,6.94756554307116,27.2804344569288,4.27946473895064e-19,FALSE,1.89871886906645e-16,4.01543519187041e-13
"ENSG00000078081",8.744,1.38576779026217,7.35823220973783,1.94396713656345e-18,FALSE,2.00359908670143e-16,4.01543519187041e-13
"ENSG00000138642",2.728,0.318352059925094,2.40964794007491,8.01451480893442e-22,FALSE,3.75725915657292e-16,6.77696834071057e-13
"ENSG00000111331",4.08,0.955056179775281,3.12494382022472,5.58395188767921e-19,FALSE,8.34369152950021e-16,1.3681378556145e-12
"ENSG00000115267",31.02,6.50561797752809,24.5143820224719,5.06214300031595e-18,FALSE,1.36881933454853e-15,2.05744952810432e-12
"ENSG00000134321",6.476,2.05243445692884,4.42356554307116,4.44840235132082e-18,FALSE,1.5384195222306e-15,2.13449791711333e-12
"ENSG00000126709",22.968,7.62546816479401,15.342531835206,1.41790810506259e-16,FALSE,3.096472518179e-15,3.98936248645677e-12
"ENSG00000132530",32.8,9.62921348314607,23.1707865168539,3.18189535156702e-17,FALSE,1.01188283320958e-14,1.21675537750675e-11
"ENSG00000115155",3.176,0.415730337078652,2.76026966292135,4.43017871494458e-16,FALSE,1.72379930143147e-14,1.94326049999497e-11
"ENSG00000196141",3.784,0.573033707865168,3.21096629213483,1.43873928442924e-15,FALSE,3.5398628712764e-14,3.65539230913013e-11
"ENSG00000152778",42.2,11.250936329588,30.949063670412,8.45646079736596e-16,FALSE,3.64789386063881e-14,3.65539230913013e-11
"ENSG00000089127",3.112,0.722846441947566,2.38915355805243,1.79100359001653e-18,FALSE,5.53462365700785e-14,5.25410562639214e-11
"ENSG00000157601",38.78,13.876404494382,24.903595505618,9.14888749574775e-15,FALSE,6.79876994329227e-14,6.1271754124477e-11
"ENSG00000138646",8.672,2.35205992509363,6.31994007490637,1.59864314397168e-14,FALSE,7.13370758226987e-14,6.1271754124477e-11
"ENSG00000185745",51.624,19.936329588015,31.687670411985,2.49720865845698e-13,FALSE,3.0534802977663e-13,2.50343746049139e-10
"ENSG00000141664",20.528,5.44569288389513,15.0823071161049,1.89329177384356e-15,FALSE,4.34935038717909e-13,3.41083621450215e-10
"ENSG00000055332",17.748,5.28838951310861,12.4596104868914,5.07650726334591e-14,FALSE,2.64586359993518e-12,1.98847673966795e-09
"ENSG00000059378",3.568,0.782771535580524,2.78522846441948,3.00044151757467e-13,FALSE,3.01422764501768e-12,2.17470496132736e-09
"ENSG00000187608",111.228,36.1310861423221,75.0969138576779,8.25357768169305e-13,FALSE,1.32301063500979e-11,9.17813185525832e-09
"ENSG00000165185",1.892,0.460674157303371,1.43132584269663,2.36465367623254e-12,FALSE,1.60510363017897e-11,1.07226867324215e-08
"ENSG00000136514",1.356,0.322097378277154,1.03390262172285,4.8793521687985e-12,FALSE,3.48291693047225e-11,2.243620452676e-08
"ENSG00000108679",27.556,7.28089887640449,20.2751011235955,5.51512558683523e-12,FALSE,3.81505173786127e-11,2.37283062744151e-08
"ENSG00000129824",11.92,60.9213483146067,-49.0013483146067,1.15218972549065e-10,FALSE,6.10456047301783e-11,3.67026524172742e-08
"ENSG00000067646",3.416,18.7977528089888,-15.3817528089888,1.4188447592981e-10,FALSE,8.00166308168035e-11,4.65567732271834e-08
"ENSG00000012817",11.244,56.314606741573,-45.070606741573,1.49716048040161e-10,FALSE,9.58260141428905e-11,5.40129317842286e-08
"ENSG00000135114",96.596,34.7602996254682,61.8357003745318,6.86050697172556e-12,FALSE,1.13533969556714e-10,6.20549154210439e-08
"ENSG00000114374",1.084,5.9625468164794,-4.8785468164794,2.12441817581286e-10,FALSE,1.21049745002901e-10,6.4216889724039e-08
"ENSG00000119917",48.208,20.0674157303371,28.1405842696629,1.11181113098327e-10,FALSE,1.69829146729364e-10,8.7520237701644e-08
"ENSG00000138035",14.004,3.9625468164794,10.0414531835206,4.95698537091327e-11,FALSE,2.13616325404298e-10,1.0702771281437e-07
"ENSG00000183878",39.696,185.022471910112,-145.326471910112,3.91385398428126e-10,FALSE,2.195872329269e-10,1.07045808656824e-07
"ENSG00000067048",20.592,97.434456928839,-76.842456928839,5.95233949467154e-10,FALSE,3.22298365433789e-10,1.50751832336133e-07
"ENSG00000167601",88.916,20.3782771535581,68.5377228464419,7.12821964978445e-11,FALSE,3.25958943344746e-10,1.50751832336133e-07
"ENSG00000146938",4.028,15.314606741573,-11.286606741573,6.60608701025467e-09,FALSE,6.25501205306199e-10,2.82054131002698e-07
"ENSG00000165349",3.732,13.4644194756554,-9.73241947565543,4.18688830392008e-09,FALSE,6.77061053485479e-10,2.97857322480917e-07
"ENSG00000132256",13.132,3.94756554307116,9.18443445692884,9.70222973086301e-11,FALSE,7.81615339934009e-10,3.35666568723565e-07
"ENSG00000132274",12.68,3.88014981273408,8.79985018726592,8.1109428132174e-11,FALSE,8.79496745980957e-10,3.68918204819965e-07
"ENSG00000196116",10.632,3.36704119850187,7.26495880149813,3.80748137483318e-11,FALSE,9.54384776365902e-10,3.91232686620722e-07
"ENSG00000133216",64.652,21.5543071161049,43.0976928838951,1.19038348165368e-10,FALSE,1.035496355783e-09,4.15049950427953e-07
"ENSG00000124256",1.872,0.49812734082397,1.37387265917603,2.47927829931182e-10,FALSE,1.06348450338118e-09,4.17001521467096e-07
"ENSG00000108691",7.32,1.87265917602996,5.44734082397004,1.48799280774361e-10,FALSE,1.39616576032831e-09,5.35800889766846e-07
"ENSG00000108771",23.172,7.17602996254682,15.9959700374532,3.64545300933478e-10,FALSE,1.68185624239036e-09,6.31992521749895e-07
"ENSG00000106785",26.484,8.17602996254682,18.3079700374532,3.71386340414277e-10,FALSE,1.74657972705908e-09,6.42919561978872e-07
"ENSG00000165246",2.112,11.6479400749064,-9.53594007490637,1.80792610425686e-09,FALSE,1.95733342806019e-09,7.06088460838433e-07
"ENSG00000154620",0.788,2.94007490636704,-2.15207490636704,3.4223169360584e-09,FALSE,2.02326346019597e-09,7.15560843755974e-07
"ENSG00000055130",66.44,17.5318352059925,48.9081647940075,8.83899034891017e-10,FALSE,2.60737606420517e-09,9.04408501347475e-07
