"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000213347",7.25,1.8314606741573,5.4185393258427,5.52103853631816e-08,FALSE,0.00117366759021663,0.0297245169522246,"MXD3","MAX dimerization protein 3"
"ENSG00000133318",28.7083333333333,6.1498127340824,22.5585205992509,1.34757041272831e-07,FALSE,0.00119325635109982,0.0301774531193145,"RTN3","reticulon 3"
"ENSG00000128594",28.5416666666667,10.2659176029963,18.2757490636704,0.022744410419274,FALSE,0.00119861250173671,0.0302696677863695,"LRRC4","leucine rich repeat containing 4"
"ENSG00000069275",11.9166666666667,2.97752808988764,8.93913857677903,2.33526088021019e-06,FALSE,0.00120297775129641,0.0303054608229166,"NUCKS1","nuclear casein kinase and cyclin dependent kinase substrate 1"
"ENSG00000235568",1.04166666666667,0.280898876404494,0.760767790262172,0.00437120409262514,FALSE,0.00120345359309215,0.0303054608229166,"NFAM1","NFAT activating protein with ITAM motif 1"
"ENSG00000114626",26.1666666666667,8.59176029962547,17.5749063670412,0.00165560224660999,FALSE,0.00120822357185209,0.0303823606427523,"ABTB1","ankyrin repeat and BTB domain containing 1"
"ENSG00000183281",1.54166666666667,4.92883895131086,-3.38717228464419,0.0313462025293789,FALSE,0.001221922242971,0.0306816610384112,"PLGLB1","plasminogen like B1"
"ENSG00000104324",7.41666666666667,1.85393258426966,5.562734082397,1.59692716703963e-06,FALSE,0.00122359219867358,0.0306816610384112,"CPQ","carboxypeptidase Q"
"ENSG00000100813",33.8333333333333,9.04868913857678,24.7846441947566,9.02989362097296e-07,FALSE,0.00123746511986818,0.0309856365163032,"ACIN1","apoptotic chromatin condensation inducer 1"
"ENSG00000131236",31.5,6.04868913857678,25.4513108614232,2.21704182337874e-11,FALSE,0.00124275768365281,0.0310629819999941,"CAP1","cyclase associated actin cytoskeleton regulatory protein 1"
"ENSG00000048740",15.9166666666667,2.37078651685393,13.5458801498127,8.57420657964373e-15,FALSE,0.0012440633925321,0.0310629819999941,"CELF2","CUGBP Elav-like family member 2"
"ENSG00000171316",199.083333333333,41.6441947565543,157.439138576779,2.39299903950089e-09,FALSE,0.00124675204228068,0.0310862695837957,"CHD7","chromodomain helicase DNA binding protein 7"
"ENSG00000147324",31.0416666666667,8.00749063670412,23.0341760299625,4.38923731783911e-07,FALSE,0.00125168925047339,0.0311654779200146,"MFHAS1","multifunctional ROCO family signaling regulator 1"
"ENSG00000179299",30.5416666666667,5.52434456928839,25.0173220973783,2.77051912127517e-09,FALSE,0.00125652612179604,0.031241969008645,"NSUN7","NOP2/Sun RNA methyltransferase family member 7"
"ENSG00000198692",8.04166666666667,29.9475655430712,-21.9058988764045,0.0485133157791559,FALSE,0.00126266419363951,0.0313505529032262,"EIF1AY","eukaryotic translation initiation factor 1A Y-linked"
"ENSG00000163563",2.91666666666667,0.715355805243446,2.20131086142322,3.74695007606579e-06,FALSE,0.00127099518640777,0.0315132041806398,"MNDA","myeloid cell nuclear differentiation antigen"
"ENSG00000113048",33.4583333333333,6.49063670411985,26.9676966292135,7.68361803792923e-10,FALSE,0.00127340357747236,0.031528760184606,"MRPS27","mitochondrial ribosomal protein S27"
"ENSG00000169403",9.16666666666667,2.88389513108614,6.28277153558052,0.00652199553144455,FALSE,0.00127831304935249,0.0316061116098981,"PTAFR","platelet activating factor receptor"
"ENSG00000203879",33.4166666666667,7.43445692883895,25.9822097378277,9.09004208400922e-08,FALSE,0.00128417894645162,0.0316928189515667,"GDI1","GDP dissociation inhibitor 1"
"ENSG00000123643",13.5416666666667,3.7565543071161,9.78511235955056,2.77658009518603e-05,FALSE,0.00128686903911186,0.0316928189515667,"SLC36A1","solute carrier family 36 member 1"
"ENSG00000077157",52.625,15.063670411985,37.561329588015,0.000476872528514441,FALSE,0.00128719069232201,0.0316928189515667,"PPP1R12B","protein phosphatase 1 regulatory subunit 12B"
"ENSG00000117298",5,1.40449438202247,3.59550561797753,9.73890506257976e-06,FALSE,0.00129558546979071,0.0318106392206269,"ECE1","endothelin converting enzyme 1"
"ENSG00000198053",49.0833333333333,16.6142322097378,32.4691011235955,0.0209403946082863,FALSE,0.00129600521536466,0.0318106392206269,"SIRPA","signal regulatory protein alpha"
"ENSG00000198879",14.75,3.33333333333333,11.4166666666667,1.10641355693024e-06,FALSE,0.00129749515511671,0.0318106392206269,"SFMBT2","Scm like with four mbt domains 2"
"ENSG00000165795",15.9583333333333,2.91760299625468,13.0407303370787,7.31270908941956e-16,FALSE,0.00129916354044587,0.0318106392206269,"NDRG2","NDRG family member 2"
"ENSG00000117500",0.5,1.49438202247191,-0.99438202247191,0.0457173774600349,FALSE,0.00130492407673199,0.0319075565336829,"TMED5","transmembrane p24 trafficking protein 5"
"ENSG00000187531",33.9583333333333,10.0449438202247,23.9133895131086,0.000265268877507511,FALSE,0.00131506395306072,0.0321111409117709,"SIRT7","sirtuin 7"
"ENSG00000132475",235.791666666667,75.4307116104869,160.36095505618,0.000566871502286145,FALSE,0.00131783135749209,0.032134391903144,"H3-3B","H3.3 histone B"
"ENSG00000084764",89.875,22.0823970037453,67.7926029962547,1.8534483150448e-09,FALSE,0.00132044686650712,0.032153880162002,"MAPRE3","microtubule associated protein RP/EB family member 3"
"ENSG00000162413",10.4166666666667,2.38576779026217,8.03089887640449,2.23574230683529e-05,FALSE,0.00132370621628203,0.0321889713555506,"KLHL21","kelch like family member 21"
"ENSG00000137814",6.95833333333333,1.86142322097378,5.09691011235955,2.34048307519893e-06,FALSE,0.00132827065862663,0.0322556590804763,"HAUS2","HAUS augmin like complex subunit 2"
"ENSG00000135108",8.125,1.56179775280899,6.56320224719101,9.14329204833382e-11,FALSE,0.00133020709257144,0.0322584330956058,"FBXO21","F-box protein 21"
"ENSG00000146826",1.625,0.47565543071161,1.14934456928839,0.0013150934380915,FALSE,0.00133512088442089,0.0323333037166936,"TRAPPC14","trafficking protein particle complex subunit 14"
"ENSG00000147316",10.7916666666667,3.21348314606742,7.57818352059925,0.00564917386257697,FALSE,0.00134348319729789,0.0324913702756347,"MCPH1","microcephalin 1"
"ENSG00000101346",4.83333333333333,1.46816479400749,3.36516853932584,0.00163863073901472,FALSE,0.00134858645688334,0.0325643259464974,"POFUT1","protein O-fucosyltransferase 1"
"ENSG00000159842",10.8333333333333,3.29213483146067,7.54119850187266,0.00172111023784525,FALSE,0.00135017879708123,0.0325643259464974,"ABR","ABR activator of RhoGEF and GTPase"
"ENSG00000142657",30.1666666666667,7.65543071161049,22.5112359550562,1.08918591448821e-05,FALSE,0.00135939681536879,0.0327420432958825,"PGD","phosphogluconate dehydrogenase"
"ENSG00000138614",58.75,16.7415730337079,42.0084269662921,9.75419123902877e-06,FALSE,0.00136408527999463,0.0327942456752483,"INTS14","integrator complex subunit 14"
"ENSG00000103005",4.54166666666667,0.9812734082397,3.56039325842697,4.07271004638003e-07,FALSE,0.00136526911047043,0.0327942456752483,"USB1","U6 snRNA biogenesis phosphodiesterase 1"
"ENSG00000089094",76.375,19.1348314606742,57.2401685393258,3.79561299128736e-05,FALSE,0.00136799221152479,0.0328151302447471,"KDM2B","lysine demethylase 2B"
