"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000159128",14.3333333333333,2.65486725663717,11.6784660766962,7.28307965230067e-07,FALSE,9.21682055727437e-05,0.00593411281972471,"IFNGR2","interferon gamma receptor 2"
"ENSG00000105784",0.166666666666667,0.712389380530973,-0.545722713864307,0.0452471304500117,FALSE,9.4478445498956e-05,0.00606112970177766,"RUNDC3B","RUN domain containing 3B"
"ENSG00000087116",33.8333333333333,4.57964601769912,29.2536873156342,2.08701548852976e-09,FALSE,9.59101514954374e-05,0.00613108203314072,"ADAMTS2","ADAM metallopeptidase with thrombospondin type 1 motif 2"
"ENSG00000151726",50.375,11.4424778761062,38.9325221238938,2.80549426263044e-05,FALSE,9.65945914486451e-05,0.0061450181975818,"ACSL1","acyl-CoA synthetase long chain family member 1"
"ENSG00000138964",15.625,3.84070796460177,11.7842920353982,1.13999677065491e-06,FALSE,9.68123448152118e-05,0.0061450181975818,"PARVG","parvin gamma"
"ENSG00000071054",47.25,6.73451327433628,40.5154867256637,2.85112907728959e-11,FALSE,9.8891331026577e-05,0.00623714423481741,"MAP4K4","mitogen-activated protein kinase kinase kinase kinase 4"
"ENSG00000102921",2.79166666666667,0.721238938053097,2.07042772861357,0.000701632860455387,FALSE,9.89870239180841e-05,0.00623714423481741,"N4BP1","NEDD4 binding protein 1"
"ENSG00000072163",0.916666666666667,3.03097345132743,-2.11430678466077,0.026495790925005,FALSE,9.93452138542311e-05,0.00623714423481741,"LIMS2","LIM zinc finger domain containing 2"
"ENSG00000188315",3.33333333333333,0.52212389380531,2.81120943952802,2.48742684333566e-13,FALSE,9.96526412844512e-05,0.00623714423481741,"C3orf62","chromosome 3 open reading frame 62"
"ENSG00000242220",4.08333333333333,12.5221238938053,-8.43879056047198,0.0247229985021521,FALSE,0.000100986440834663,0.0062986785996981,"TCP10L","t-complex 10 like"
"ENSG00000182541",66.75,17.3716814159292,49.3783185840708,0.000991083511180948,FALSE,0.000101596366325096,0.006314794215563,"LIMK2","LIM domain kinase 2"
"ENSG00000013810",58.75,13,45.75,1.73217439906703e-06,FALSE,0.000102249104398282,0.00633345055967704,"TACC3","transforming acidic coiled-coil containing protein 3"
