"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000185745",89.9882352941176,31.8606060606061,58.1276292335116,0.000819649954988728,FALSE,5.78203034219206e-13,7.67949989454416e-09,"IFIT1","interferon induced protein with tetratricopeptide repeats 1"
"ENSG00000134321",11.3411764705882,3.96969696969697,7.37147950089127,0.00138981875959999,FALSE,8.55035338701126e-13,7.67949989454416e-09,"RSAD2","radical S-adenosyl methionine domain containing 2"
"ENSG00000119917",85.8823529411765,28.8,57.0823529411765,0.000464947126830124,FALSE,1.38775129710358e-12,8.30939218329051e-09,"IFIT3","interferon induced protein with tetratricopeptide repeats 3"
"ENSG00000089159",4.8,23.7818181818182,-18.9818181818182,1.07271674295182e-08,FALSE,2.2567169733978e-12,8.36195339567624e-09,"PXN","paxillin"
"ENSG00000126709",40.4352941176471,13.969696969697,26.4655971479501,8.79117392457174e-05,FALSE,2.6577456505299e-12,8.36195339567624e-09,"IFI6","interferon alpha inducible protein 6"
"ENSG00000134326",8.71764705882353,2.88484848484848,5.83279857397504,3.94567362490862e-05,FALSE,2.79305908668137e-12,8.36195339567624e-09,"CMPK2","cytidine/uridine monophosphate kinase 2"
"ENSG00000114626",2,17.7151515151515,-15.7151515151515,1.28758261925482e-07,FALSE,6.24895521589024e-12,1.53403247123998e-08,"ABTB1","ankyrin repeat and BTB domain containing 1"
"ENSG00000157601",66.8705882352941,24.3090909090909,42.5614973262032,0.000392285574736215,FALSE,6.8319655792016e-12,1.53403247123998e-08,"MX1","MX dynamin like GTPase 1"
"ENSG00000141664",40.2235294117647,10.3818181818182,29.8417112299465,1.90957869708634e-08,FALSE,8.65278965705259e-12,1.61057987190799e-08,"ZCCHC2","zinc finger CCHC-type containing 2"
"ENSG00000181220",1.75294117647059,17.7757575757576,-16.022816399287,4.81662088710282e-08,FALSE,8.96609626403157e-12,1.61057987190799e-08,"ZNF746","zinc finger protein 746"
"ENSG00000111261",3.85882352941176,21.0424242424242,-17.1836007130125,3.1204141360649e-08,FALSE,1.09270092214031e-11,1.78438060585512e-08,"MANSC1","MANSC domain containing 1"
"ENSG00000187608",212.670588235294,58.969696969697,153.700891265597,1.23134491148814e-08,FALSE,1.54454728784772e-11,2.31205857763406e-08,"ISG15","ISG15 ubiquitin like modifier"
"ENSG00000142347",2.48235294117647,12.8363636363636,-10.3540106951872,6.40259461811974e-07,FALSE,6.86281960099595e-11,9.48283296097617e-08,"MYO1F","myosin IF"
"ENSG00000132530",58.3176470588235,19.6545454545455,38.6631016042781,1.17843533403654e-06,FALSE,9.41452828678257e-11,1.20795122582482e-07,"XAF1","XIAP associated factor 1"
