"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj"
"ENSG00000137959",12.8085106382979,29.25,-16.4414893617021,2.05124300811957e-05,FALSE,3.02012501407995e-06,0.0523744654967577
"ENSG00000184979",9.88297872340426,26.4761904761905,-16.5932117527862,3.01859314255226e-07,FALSE,7.27044322040755e-06,0.0523744654967577
"ENSG00000137965",14.2127659574468,31.7857142857143,-17.5729483282675,3.27272646123568e-06,FALSE,1.03406831672567e-05,0.0523744654967577
"ENSG00000132530",22.2127659574468,51.5357142857143,-29.3229483282675,4.77103180105828e-06,FALSE,1.16946445231121e-05,0.0523744654967577
"ENSG00000162772",27.4468085106383,99.6904761904762,-72.2436676798379,4.9460068206204e-06,FALSE,2.3092126998681e-05,0.0767233831939589
"ENSG00000078081",5.58510638297872,14.4880952380952,-8.90298885511652,1.80794235947159e-05,FALSE,2.56972367513539e-05,0.0767233831939589
"ENSG00000121380",4.15957446808511,14.202380952381,-10.0428064842958,7.77725411667629e-06,FALSE,3.9276838406328e-05,0.0909026286992951
"ENSG00000115267",20.6595744680851,49.0714285714286,-28.4118541033435,3.69267755379773e-05,FALSE,5.29513710555231e-05,0.0909026286992951
"ENSG00000196141",2.37234042553191,6.21428571428571,-3.8419452887538,1.60099341743573e-05,FALSE,5.5274924173666e-05,0.0909026286992951
"ENSG00000134326",3.41489361702128,7.15476190476191,-3.73986828774063,0.000473713091670162,FALSE,6.24708706611714e-05,0.0909026286992951
"ENSG00000132256",8.81914893617021,22.8928571428571,-14.0737082066869,0.000141429618318115,FALSE,6.38265266569916e-05,0.0909026286992951
"ENSG00000134321",4.68085106382979,9.51190476190476,-4.83105369807498,0.000485470534553155,FALSE,6.53001366998242e-05,0.0909026286992951
"ENSG00000136514",0.808510638297872,2.23809523809524,-1.42958459979737,2.43093484952987e-05,FALSE,6.59670745277903e-05,0.0909026286992951
"ENSG00000111331",2.64893617021277,6.10714285714286,-3.45820668693009,7.37869296363864e-05,FALSE,7.7309800181484e-05,0.0930449712463311
"ENSG00000115155",1.56382978723404,4.88095238095238,-3.31712259371834,1.51535134744236e-05,FALSE,7.7909711326056e-05,0.0930449712463311
"ENSG00000138642",1.76595744680851,4.34523809523809,-2.57928064842958,3.0356066732251e-05,FALSE,9.55929984172993e-05,0.104480908816354
"ENSG00000163435",14.531914893617,4.30952380952381,10.2223910840932,0.00018621917236844,FALSE,9.91501311755065e-05,0.104480908816354
"ENSG00000188313",6.52127659574468,15.1785714285714,-8.65729483282675,0.000770548809678096,FALSE,0.000128996389707384,0.124701416823838
"ENSG00000119917",34.0425531914894,70.1309523809524,-36.088399189463,0.000959553113598968,FALSE,0.000132261187878359,0.124701416823838
"ENSG00000133106",0.351063829787234,0.916666666666667,-0.565602836879433,1.36686242551628e-06,FALSE,0.000147425126943656,0.12670042843165
"ENSG00000089127",2.02127659574468,4.77380952380952,-2.75253292806484,0.00039654730390984,FALSE,0.000155259989791609,0.12670042843165
"ENSG00000132274",9.04255319148936,22.0595238095238,-13.0169706180344,0.000244694589254826,FALSE,0.000155599499022904,0.12670042843165
"ENSG00000185745",37.4574468085106,72.0595238095238,-34.6020770010132,0.00197094358768487,FALSE,0.000165074773678838,0.128571717203596
"ENSG00000137628",24.8617021276596,53.2380952380952,-28.3763931104357,0.000224276332400903,FALSE,0.000195169410234948,0.145677700622869
"ENSG00000112773",2.22340425531915,5.46428571428571,-3.24088145896657,0.000258933399534598,FALSE,0.000204080986593456,0.146236271753407
"ENSG00000157601",28.4787234042553,54.2261904761905,-25.7474670719352,0.000812839256657471,FALSE,0.000217608818740917,0.148859777683263
"ENSG00000126709",16.6276595744681,32.1309523809524,-15.5032928064843,0.000767464390053084,FALSE,0.000225873199844965,0.148859777683263
"ENSG00000121858",0.75531914893617,2.41666666666667,-1.6613475177305,0.00012496331192857,FALSE,0.000238953949367401,0.148859777683263
"ENSG00000132323",36.9893617021277,12.3214285714286,24.6679331306991,0.000288996813490692,FALSE,0.000240980995468049,0.148859777683263
"ENSG00000135114",67.1595744680851,145.333333333333,-78.1737588652482,0.000252993093101189,FALSE,0.000289961813340128,0.173145864139168
"ENSG00000213512",1.18085106382979,2.94047619047619,-1.7596251266464,2.98588469742561e-05,FALSE,0.000337343920957849,0.194941258065771
"ENSG00000173821",26.6170212765957,60.9285714285714,-34.3115501519757,7.51533393089916e-05,FALSE,0.000424911253032365,0.235851470264897
"ENSG00000135108",4.65957446808511,1.53571428571429,3.12386018237082,0.00100364090941262,FALSE,0.000434470164047204,0.235851470264897
"ENSG00000152778",31.1914893617021,63.6547619047619,-32.4632725430598,0.00139815789379398,FALSE,0.000458544218238434,0.241598856633038
"ENSG00000020577",6.42553191489362,16.1428571428571,-9.71732522796352,0.000372328858707711,FALSE,0.000477899585180673,0.244602661969331
"ENSG00000055332",13.5851063829787,27.9880952380952,-14.4029888551165,0.00315084748349689,FALSE,0.000515855229225942,0.251010919920217
"ENSG00000177409",19.4255319148936,42.2857142857143,-22.8601823708207,0.000417381854561259,FALSE,0.000518443900694876,0.251010919920217
"ENSG00000179922",4.86170212765957,1.21428571428571,3.64741641337386,0.00103550928230333,FALSE,0.000556276500701917,0.262240453515109
"ENSG00000087338",1.5,3.58333333333333,-2.08333333333333,0.000156675950744115,FALSE,0.000579165130541407,0.26602984996202
"ENSG00000155363",17.6595744680851,43.7380952380952,-26.0785207700101,0.00042183084039256,FALSE,0.000662207355338988,0.290800084650492
"ENSG00000149131",5.26595744680851,11.4880952380952,-6.22213779128673,0.000523944099283358,FALSE,0.000665557858137221,0.290800084650492
"ENSG00000243232",0.340425531914894,0.0714285714285714,0.268996960486322,0.00102703741224005,FALSE,0.00070978927053943,0.302742023629604
"ENSG00000088812",1.98936170212766,0.738095238095238,1.25126646403242,0.000999213849474983,FALSE,0.00076335481150534,0.314716322573609
"ENSG00000116350",48.1489361702128,16.5119047619048,31.637031408308,0.00105470355114817,FALSE,0.000790013264793397,0.314716322573609
"ENSG00000205413",15.0425531914894,33.7857142857143,-18.7431610942249,0.000940795835834947,FALSE,0.000796154329419212,0.314716322573609
"ENSG00000080986",19.2446808510638,49.9404761904762,-30.6957953394124,0.000362937664133512,FALSE,0.000814580249121894,0.314716322573609
"ENSG00000073849",1.20212765957447,0.392857142857143,0.809270516717325,0.00116581654683631,FALSE,0.000825704318463751,0.314716322573609
"ENSG00000134184",5.87234042553191,9.90476190476191,-4.03242147922999,0.00959034543145039,FALSE,0.000900608800228612,0.324486839182346
"ENSG00000162714",8.43617021276596,20.0357142857143,-11.5995440729483,0.00068973506929448,FALSE,0.000901917299939438,0.324486839182346
"ENSG00000243649",14.6702127659574,37.75,-23.0797872340426,0.000582441323566057,FALSE,0.000927877887784749,0.324486839182346
"ENSG00000111335",2.01063829787234,4.29761904761905,-2.28698074974671,0.00179474866848818,FALSE,0.000941795074573446,0.324486839182346
"ENSG00000155545",0.468085106382979,0.142857142857143,0.325227963525836,0.00133630293508695,FALSE,0.000941906644941497,0.324486839182346
"ENSG00000170581",16.2659574468085,35.2142857142857,-18.9483282674772,0.00106182366514349,FALSE,0.000991300023981494,0.331274105261353
"ENSG00000185189",0.925531914893617,2.3452380952381,-1.41970618034448,0.000626480990772157,FALSE,0.00101506826895182,0.331274105261353
"ENSG00000088827",21.3617021276596,40.4761904761905,-19.1144883485309,0.00304637061964251,FALSE,0.00101708584288123,0.331274105261353
"ENSG00000086288",182.670212765957,71.4166666666667,111.253546099291,0.0011773765819929,FALSE,0.00104290151340831,0.333616744842795
"ENSG00000004468",0.425531914893617,1.38095238095238,-0.955420466058764,0.000716010917851765,FALSE,0.00110094042711285,0.342161346221685
"ENSG00000157827",8.68085106382979,22.297619047619,-13.6167679837893,0.000733739581625698,FALSE,0.00111168195536598,0.342161346221685
"ENSG00000169248",0.946808510638298,2.4047619047619,-1.45795339412361,0.000804667730479547,FALSE,0.00112691299693421,0.342161346221685
"ENSG00000160932",0.0212765957446809,0.166666666666667,-0.145390070921986,0.000631228160215769,FALSE,0.00116864301645685,0.346232587558697
"ENSG00000197121",3,7.20238095238095,-4.20238095238095,0.000363856608025108,FALSE,0.00117897665742327,0.346232587558697
"ENSG00000185722",35.9574468085106,83.6904761904762,-47.7330293819656,0.000715756175176902,FALSE,0.00122578848214022,0.354173788210644
"ENSG00000185880",6.64893617021277,14.7261904761905,-8.07725430597771,0.00123465433016628,FALSE,0.0012586369614065,0.357892421057716
"ENSG00000067704",15.3297872340426,4.57142857142857,10.758358662614,0.00214684750496488,FALSE,0.00139732812435569,0.378439323625482
"ENSG00000138802",18.9468085106383,6.85714285714286,12.0896656534954,0.00215123486378188,FALSE,0.00142333386247324,0.378439323625482
"ENSG00000221963",0.521276595744681,1.41666666666667,-0.895390070921986,0.000911603240086298,FALSE,0.00142639721589258,0.378439323625482
"ENSG00000179715",0.202127659574468,0.0357142857142857,0.166413373860182,0.00203901376346591,FALSE,0.00143393603307931,0.378439323625482
"ENSG00000155850",8.70212765957447,3.67857142857143,5.02355623100304,0.00219139209633027,FALSE,0.00145102639902941,0.378439323625482
"ENSG00000042088",8.84042553191489,3.26190476190476,5.57852077001013,0.00198522467061965,FALSE,0.00145764839400236,0.378439323625482
"ENSG00000113971",39.9893617021277,17.3928571428571,22.5965045592705,0.00165759146563365,FALSE,0.00158625625695926,0.405945636959545
"ENSG00000163840",6.65957446808511,14.2857142857143,-7.62613981762918,0.00207911754540768,FALSE,0.00161205743479319,0.406548614741847
"ENSG00000108771",16.4893617021277,35.3452380952381,-18.8558763931104,0.00110561058216894,FALSE,0.00163400135432695,0.406548614741847
"ENSG00000144655",0.393617021276596,1.19047619047619,-0.796859169199595,0.00117256213790605,FALSE,0.00177227983056985,0.434912614860662
"ENSG00000177294",4.95744680851064,10.1190476190476,-5.16160081053698,0.000671937444539189,FALSE,0.00181194127536783,0.43856881343959
"ENSG00000187122",14.8936170212766,40,-25.1063829787234,0.00117164823869213,FALSE,0.00183614273796858,0.43856881343959
"ENSG00000112343",6.95744680851064,16.6547619047619,-9.69731509625127,0.00192024481513467,FALSE,0.00187532402558052,0.442033613082229
"ENSG00000108679",17.5957446808511,38.8571428571429,-21.2613981762918,0.000885369740285235,FALSE,0.00192269299689989,0.444713557813004
"ENSG00000138646",6.84042553191489,12.6071428571429,-5.76671732522796,0.00666903351457604,FALSE,0.00195259827277876,0.444713557813004
"ENSG00000134716",16.7446808510638,38.4523809523809,-21.7077001013171,0.00136497025252876,FALSE,0.00196116841951699,0.444713557813004
"ENSG00000109606",41.3829787234043,16.0714285714286,25.3115501519757,0.00252956583202146,FALSE,0.00209388484194754,0.468873163233104
"ENSG00000172037",11.5212765957447,4.54761904761905,6.97365754812563,0.00331460708312805,FALSE,0.00219803581571314,0.486118686452903
"ENSG00000106436",0.223404255319149,38.6904761904762,-38.467071935157,0.00108919524632862,FALSE,0.00234997862064613,0.505626346451442
"ENSG00000136816",1.61702127659574,3.75,-2.13297872340426,0.000807285729997073,FALSE,0.00236718150879767,0.505626346451442
"ENSG00000086506",0.680851063829787,1.9047619047619,-1.22391084093212,0.00133249221527854,FALSE,0.00240009928407598,0.505626346451442
"ENSG00000095261",6.02127659574468,2.02380952380952,3.99746707193516,0.0034030984321789,FALSE,0.00242596270478647,0.505626346451442
"ENSG00000078053",35.7765957446809,11.5357142857143,24.2408814589666,0.00338026513260554,FALSE,0.00242736774560813,0.505626346451442
"ENSG00000138035",10.6808510638298,22.0714285714286,-11.3905775075988,0.00448662540789644,FALSE,0.00245784611628224,0.506090291115863
"ENSG00000156234",0.234042553191489,0.726190476190476,-0.492147922998987,0.00167174442809541,FALSE,0.00259512960560231,0.510092694843253
"ENSG00000196116",8.23404255319149,16.6666666666667,-8.43262411347518,0.00559568693804827,FALSE,0.00260199450996792,0.510092694843253
"ENSG00000119922",33.6063829787234,62.7023809523809,-29.0959979736575,0.00638657421982554,FALSE,0.00260817756692491,0.510092694843253
"ENSG00000168090",42.9148936170213,15.1071428571429,27.8077507598784,0.00373025188406366,FALSE,0.00261351756122728,0.510092694843253
"ENSG00000173193",2.14893617021277,4.69047619047619,-2.54154002026342,0.00304053360661649,FALSE,0.00261965657729035,0.510092694843253
"ENSG00000108691",5,11.3571428571429,-6.35714285714286,0.00207849347082384,FALSE,0.00274370881273168,0.527535203461309
"ENSG00000115486",8.86170212765957,3.91666666666667,4.94503546099291,0.0036751357123902,FALSE,0.00276813158006939,0.527535203461309
"ENSG00000138119",3.12765957446809,8.01190476190476,-4.88424518743668,0.00178939455814036,FALSE,0.00296723909718717,0.555771666486946
"ENSG00000177700",7.56382978723404,21.3095238095238,-13.7456940222898,0.00157547626535581,FALSE,0.00302343625548483,0.555771666486946
"ENSG00000162614",2.3936170212766,5.82142857142857,-3.42781155015198,0.00176015933147955,FALSE,0.00303474689950581,0.555771666486946
"ENSG00000130303",1.01063829787234,2.38095238095238,-1.37031408308004,0.00128751823077326,FALSE,0.00307782575565593,0.555771666486946
"ENSG00000006712",18.8617021276596,6.91666666666667,11.9450354609929,0.00458727328899688,FALSE,0.00307959593703755,0.555771666486946
"ENSG00000111530",8.43617021276596,3.32142857142857,5.11474164133739,0.00336398735668776,FALSE,0.0031024431533267,0.555771666486946
"ENSG00000104824",89.1914893617021,35.5952380952381,53.596251266464,0.00454496048827624,FALSE,0.00319193663315425,0.561903402400186
