"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000174473",0.564,1.11985018726592,-0.555850187265918,2.05320665062294e-05,FALSE,1.59989429734006e-05,0.00154346369422853,"GALNTL6","polypeptide N-acetylgalactosaminyltransferase like 6"
"ENSG00000157703",0.168,0.468164794007491,-0.300164794007491,2.25360813072683e-05,FALSE,1.60009003079476e-05,0.00154346369422853,"SVOPL","SVOP like"
"ENSG00000143297",18.92,7.91385767790262,11.0061423220974,1.12411473563416e-05,FALSE,1.60019798647632e-05,0.00154346369422853,"FCRL5","Fc receptor like 5"
"ENSG00000145451",0.364,0.902621722846442,-0.538621722846442,2.35568567217412e-05,FALSE,1.67796980984246e-05,0.00160986922660258,"GLRA3","glycine receptor alpha 3"
"ENSG00000154485",0.772,1.49438202247191,-0.72238202247191,0.000215578231891617,FALSE,1.73125258056947e-05,0.00164595426961928,"MMP21","matrix metallopeptidase 21"
"ENSG00000188290",7.336,3.32958801498127,4.00641198501873,1.99199306911916e-05,FALSE,1.73383218510652e-05,0.00164595426961928,"HES4","hes family bHLH transcription factor 4"
"ENSG00000108100",2.732,1.20973782771536,1.52226217228464,1.25087147392811e-05,FALSE,1.80938956840323e-05,0.00170868898666435,"CCNY","cyclin Y"
"ENSG00000089101",3.144,7.01498127340824,-3.87098127340824,3.54756337838364e-05,FALSE,1.85971824607963e-05,0.0017416078348816,"CFAP61","cilia and flagella associated protein 61"
"ENSG00000115590",24.652,8.57677902621723,16.0752209737828,1.37506756932724e-05,FALSE,1.86355997190302e-05,0.0017416078348816,"IL1R2","interleukin 1 receptor type 2"
"ENSG00000213593",2.928,1.38951310861423,1.53848689138577,4.77614605003538e-06,FALSE,1.9400548825156e-05,0.00180375102659453,"TMX2","thioredoxin related transmembrane protein 2"
"ENSG00000138496",2.612,1.23220973782772,1.37979026217228,1.41004689322184e-05,FALSE,1.97826250052257e-05,0.00182984208830388,"PARP9","poly(ADP-ribose) polymerase family member 9"
"ENSG00000106537",1.472,0.576779026217228,0.895220973782772,1.2037147521776e-05,FALSE,2.02869096701693e-05,0.00186691321286145,"TSPAN13","tetraspanin 13"
"ENSG00000136931",5.796,10.4194756554307,-4.62347565543071,0.000105390845561743,FALSE,2.19382771567074e-05,0.00200863302068798,"NR5A1","nuclear receptor subfamily 5 group A member 1"
"ENSG00000152894",26.656,12.0262172284644,14.6297827715356,1.60638420367528e-05,FALSE,2.23572604931665e-05,0.00202755676993803,"PTPRK","protein tyrosine phosphatase receptor type K"
"ENSG00000197121",4.196,1.84269662921348,2.35330337078652,7.77239529147033e-06,FALSE,2.23697841779491e-05,0.00202755676993803,"PGAP1","post-GPI attachment to proteins inositol deacylase 1"
"ENSG00000160683",7.728,3.16479400749064,4.56320599250936,1.42873968994134e-05,FALSE,2.26680909909503e-05,0.00204432178601886,"CXCR5","C-X-C motif chemokine receptor 5"
"ENSG00000120645",3.212,6.11985018726592,-2.90785018726592,3.64931092788637e-05,FALSE,2.32625976175574e-05,0.00208749986680539,"IQSEC3","IQ motif and Sec7 domain ArfGEF 3"
