"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj"
"ENSG00000177370",2.41666666666667,2.90265486725664,-0.485988200589971,0.714170753421918,TRUE,0.714919335309234,0.886133230785827
"ENSG00000120215",0.125,0.18141592920354,-0.0564159292035398,0.715044644360065,TRUE,0.715044644360066,0.886133230785827
"ENSG00000151224",0.375,2.64601769911504,-2.27101769911504,0.715192642844117,TRUE,0.715192642844116,0.886133230785827
"ENSG00000119408",9.70833333333333,8.34955752212389,1.35877581120944,0.714875835979282,TRUE,0.715291516769707,0.886133230785827
"ENSG00000197753",1.41666666666667,1.8141592920354,-0.397492625368731,0.715354378893632,TRUE,0.715354378893631,0.886133230785827
"ENSG00000140451",16.7083333333333,19.5796460176991,-2.87131268436578,0.715834960398582,TRUE,0.715375426656794,0.886133230785827
"ENSG00000172232",5,6.15486725663717,-1.15486725663717,0.719692717444062,TRUE,0.71538255117426,0.886133230785827
"ENSG00000116151",7.66666666666667,6.63274336283186,1.03392330383481,0.696520608796295,TRUE,0.715491321157818,0.886133230785827
"ENSG00000184867",16.2916666666667,18.8274336283186,-2.53576696165192,0.72662933515214,TRUE,0.715670388376591,0.886133230785827
"ENSG00000133316",7.91666666666667,9.2212389380531,-1.30457227138643,0.628245561501262,TRUE,0.715839508517232,0.886133230785827
"ENSG00000117477",0.625,0.800884955752212,-0.175884955752212,0.715885311087525,TRUE,0.715885311087523,0.886133230785827
"ENSG00000143951",1.25,1.05752212389381,0.192477876106195,0.716010944126988,TRUE,0.716010944126988,0.886133230785827
"ENSG00000128645",0,0.663716814159292,-0.663716814159292,0.716039876217996,TRUE,0.716039876217996,0.886133230785827
"ENSG00000165078",5.54166666666667,6.36725663716814,-0.825589970501475,0.827091672654264,TRUE,0.716084886909486,0.886133230785827
"ENSG00000163872",20.125,23.7433628318584,-3.61836283185841,0.711084734962939,TRUE,0.71642174395929,0.886133230785827
"ENSG00000125255",0,0.123893805309735,-0.123893805309735,0.716426264744837,TRUE,0.716426264744836,0.886133230785827
"ENSG00000160193",4,4.75663716814159,-0.756637168141593,0.716498215938448,TRUE,0.71649821593845,0.886133230785827
"ENSG00000176994",1.79166666666667,2.21681415929204,-0.425147492625369,0.716539761921821,TRUE,0.716539761921821,0.886133230785827
"ENSG00000139405",0.166666666666667,0.212389380530973,-0.0457227138643068,0.716553628333682,TRUE,0.716553628333681,0.886133230785827
"ENSG00000180481",1.16666666666667,1.40265486725664,-0.23598820058997,0.716654618743007,TRUE,0.716654618743008,0.886133230785827
"ENSG00000161031",1.625,1.87610619469027,-0.251106194690266,0.477775198988876,TRUE,0.716672819521626,0.886133230785827
"ENSG00000240764",2.54166666666667,3.23451327433628,-0.692846607669617,0.71675432765979,TRUE,0.716754327659789,0.886133230785827
"ENSG00000157985",8.54166666666667,7.50442477876106,1.0372418879056,0.739227647731246,TRUE,0.716762107675163,0.886133230785827
"ENSG00000198342",1.95833333333333,2.3141592920354,-0.355825958702065,0.716799278545223,TRUE,0.716799278545224,0.886133230785827
"ENSG00000135457",7.16666666666667,8.24336283185841,-1.07669616519174,0.742500768129041,TRUE,0.716884168039472,0.886133230785827
"ENSG00000187634",1.66666666666667,1.24778761061947,0.418879056047198,0.716891405477746,TRUE,0.716891405477747,0.886133230785827
