"gene","mean_target","mean_ref","estimate","p_val","padj","symbol","description"
"ENSG00000137959",12.8085106382979,29.25,-16.4414893617021,1.97103466689547e-06,0.0310083689901684,"IFI44L","interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]"
"ENSG00000184979",9.88297872340426,26.4761904761905,-16.5932117527862,3.51821802073979e-06,0.0310083689901684,"USP18","ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]"
"ENSG00000137965",14.2127659574468,31.7857142857143,-17.5729483282674,5.65823040197698e-06,0.0310083689901684,"IFI44","interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]"
"ENSG00000132530",22.2127659574468,51.5357142857143,-29.3229483282674,6.92382918168325e-06,0.0310083689901684,"XAF1","XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]"
"ENSG00000162772",27.4468085106383,99.6904761904762,-72.2436676798378,1.06693946518944e-05,0.0382263071588073,"ATF3","activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]"
"ENSG00000078081",5.58510638297872,14.4880952380952,-8.90298885511651,1.52036283088828e-05,0.0415836888121727,"LAMP3","lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]"
"ENSG00000121380",4.15957446808511,14.202380952381,-10.0428064842958,1.62490689787434e-05,0.0415836888121727,"BCL2L14","BCL2 like 14 [Source:HGNC Symbol;Acc:HGNC:16657]"
