gene_name,drug_name,drug_id,mechanism,rho,p_val,pathway_associated,source
OAS1,Cysteine-S-acetamide,DB02987,NA,0.7346944395400055,1.1089164478323061e-43,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
OAS1,Cysteine-S-acetamide,DB02987,NA,0.7081525272845317,2.3178209223009166e-39,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.684302822005357,7.124359746065138e-36,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.684302822005357,7.124359746065138e-36,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.6491277369121745,2.6767374470000926e-31,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.6491277369121745,2.6767374470000926e-31,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CMTR1,Ademetionine,DB00118,NA,0.6482324970270807,3.4370035004329703e-31,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CMTR1,Ademetionine,DB00118,NA,0.6266155690894457,1.125455286745057e-28,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
SERPING1,Sildenafil,DB00203,modulator,0.6098107153133837,7.48882264560281e-27,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
SERPING1,PPL-100,DB05961,NA,0.6098107153133837,7.48882264560281e-27,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
SERPING1,Copper,DB09130,NA,0.6098107153133837,7.48882264560281e-27,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
SERPING1,CONESTAT ALFA,CHEMBL2108350,Plasma protease C1 inhibitor exogenous protein,0.6098107153133837,7.48882264560281e-27,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
SERPING1,Sildenafil,DB00203,modulator,0.5821965569818451,4.4127131376748134e-24,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
SERPING1,PPL-100,DB05961,NA,0.5821965569818451,4.4127131376748134e-24,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
SERPING1,Copper,DB09130,NA,0.5821965569818451,4.4127131376748134e-24,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
SERPING1,CONESTAT ALFA,CHEMBL2108350,Plasma protease C1 inhibitor exogenous protein,0.5821965569818451,4.4127131376748134e-24,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
EIF2AK2,Indomethacin,DB00328,inducer,0.5787424014052566,9.395627091550702e-24,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
EIF2AK2,H-89,DB07995,inhibitor,0.5787424014052566,9.395627091550702e-24,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
EIF2AK2,Fostamatinib,DB12010,inhibitor,0.5787424014052566,9.395627091550702e-24,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
MT2A,Zinc,DB01593,NA,0.5655812480082373,1.5438329501055254e-22,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
MT2A,Zinc acetate,DB14487,NA,0.5655812480082373,1.5438329501055254e-22,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
MT2A,Zinc chloride,DB14533,cofactor,0.5655812480082373,1.5438329501055254e-22,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
MT2A,"Zinc sulfate, unspecified form",DB14548,cofactor,0.5655812480082373,1.5438329501055254e-22,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
MT2A,Zinc,DB01593,NA,0.5632315763145002,2.5117220270811965e-22,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
MT2A,Zinc acetate,DB14487,NA,0.5632315763145002,2.5117220270811965e-22,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
MT2A,Zinc chloride,DB14533,cofactor,0.5632315763145002,2.5117220270811965e-22,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
MT2A,"Zinc sulfate, unspecified form",DB14548,cofactor,0.5632315763145002,2.5117220270811965e-22,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
LGALS9,(R)-1-Para-Nitro-Phenyl-2-Azido-Ethanol,DB04472,NA,0.5446992525188796,1.0226792490264745e-20,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
SERPING1,Sildenafil,DB00203,modulator,0.5386023075894225,3.295174348615966e-20,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
SERPING1,PPL-100,DB05961,NA,0.5386023075894225,3.295174348615966e-20,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
SERPING1,Copper,DB09130,NA,0.5386023075894225,3.295174348615966e-20,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
SERPING1,CONESTAT ALFA,CHEMBL2108350,Plasma protease C1 inhibitor exogenous protein,0.5386023075894225,3.295174348615966e-20,HALLMARK_INFLAMMATORY_RESPONSE,ChEMBL
PML,Arsenic trioxide,DB01169,NA,0.538214183099917,3.547138151297502e-20,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
OAS1,Cysteine-S-acetamide,DB02987,NA,0.5371400329788328,4.347340412895028e-20,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
EIF2AK2,Indomethacin,DB00328,inducer,0.527257303386214,2.731779073176711e-19,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
EIF2AK2,H-89,DB07995,inhibitor,0.527257303386214,2.731779073176711e-19,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
EIF2AK2,Fostamatinib,DB12010,inhibitor,0.527257303386214,2.731779073176711e-19,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
LGALS9,(R)-1-Para-Nitro-Phenyl-2-Azido-Ethanol,DB04472,NA,0.5259704274848566,3.455234479847061e-19,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
PML,Arsenic trioxide,DB01169,NA,0.5184530782672815,1.3363517388679007e-18,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.5177255294916059,1.520570253558066e-18,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.5177255294916059,1.520570253558066e-18,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
CCR1,MLN3897,DB06505,NA,0.48515814319151274,3.6332311626937816e-16,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CCR1,CCX-354,DB12963,antagonist,0.48515814319151274,3.6332311626937816e-16,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CCR1,BMS-817399,DB14941,modulator,0.48515814319151274,3.6332311626937816e-16,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CCR1,AZD4818,CHEMBL2178570,C-C chemokine receptor type 1 antagonist,0.48515814319151274,3.6332311626937816e-16,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
CCR1,BMS-817399,CHEMBL3334824,C-C chemokine receptor type 1 antagonist,0.48515814319151274,3.6332311626937816e-16,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
CCR1,CCX354,CHEMBL4444976,C-C chemokine receptor type 1 antagonist,0.48515814319151274,3.6332311626937816e-16,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
CMTR1,Ademetionine,DB00118,NA,0.4812925750323472,6.700908920586326e-16,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
