gene_name,drug_name,drug_id,mechanism,rho,p_val,pathway_associated,source
BLK,ILORASERTIB,CHEMBL1980297,SRC inhibitor,0.2653603675145214,8.827536620316244e-10,HALLMARK_IL6_JAK_STAT3_SIGNALING,ChEMBL
BLK,XL-228,CHEMBL3545085,SRC inhibitor,0.2653603675145214,8.827536620316244e-10,HALLMARK_IL6_JAK_STAT3_SIGNALING,ChEMBL
SLC7A3,Lysine,DB00123,NA,-0.2645708556272237,9.940116362818852e-10,HALLMARK_COMPLEMENT,DrugBank
SLC7A3,Arginine,DB00125,NA,-0.2645708556272237,9.940116362818852e-10,HALLMARK_COMPLEMENT,DrugBank
SLC7A3,Fluciclovine (18F),DB13146,binder,-0.2645708556272237,9.940116362818852e-10,HALLMARK_COMPLEMENT,DrugBank
BLK,Fostamatinib,DB12010,inhibitor,0.2630917035623027,1.2402780123230402e-9,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
BLK,Zanubrutinib,DB15035,inhibitor,0.2630917035623027,1.2402780123230402e-9,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
BLK,ENMD-981693,CHEMBL52885,SRC inhibitor,0.2630917035623027,1.2402780123230402e-9,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
BLK,DASATINIB ANHYDROUS,CHEMBL1421,SRC inhibitor,0.2630917035623027,1.2402780123230402e-9,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
BLK,TG100-801,CHEMBL403989,SRC inhibitor,0.2630917035623027,1.2402780123230402e-9,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
BLK,ILORASERTIB,CHEMBL1980297,SRC inhibitor,0.2630917035623027,1.2402780123230402e-9,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
BLK,XL-228,CHEMBL3545085,SRC inhibitor,0.2630917035623027,1.2402780123230402e-9,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
BIRC7,LCL-161,DB12085,modulator,0.26264555422164093,1.3255534054863967e-9,HALLMARK_WNT_BETA_CATENIN_SIGNALING,DrugBank
BIRC7,APG-1387,DB16095,inhibitor,0.26264555422164093,1.3255534054863967e-9,HALLMARK_WNT_BETA_CATENIN_SIGNALING,DrugBank
BIRC7,Xevinapant,DB16305,modulator,0.26264555422164093,1.3255534054863967e-9,HALLMARK_WNT_BETA_CATENIN_SIGNALING,DrugBank
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.258811458827307,2.3353647785256038e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.258811458827307,2.3353647785256038e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
LAP3,Leucine Phosphonic Acid,DB02386,NA,0.25871717180013337,2.3678456879599177e-9,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
LAP3,(2S)-3-[(R)-[(1S)-1-amino-3-phenylpropyl](hydroxy)phosphoryl]-2-benzylpropanoic acid,DB07448,NA,0.25871717180013337,2.3678456879599177e-9,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
LAP3,Zofenoprilat,DB08766,NA,0.25871717180013337,2.3678456879599177e-9,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
LAP3,TOSEDOSTAT,CHEMBL2103847,Aminopeptidase inhibitor,0.25871717180013337,2.3678456879599177e-9,HALLMARK_INFLAMMATORY_RESPONSE,ChEMBL
EIF2AK2,Indomethacin,DB00328,inducer,0.25734193817169077,2.8945197053146763e-9,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
EIF2AK2,H-89,DB07995,inhibitor,0.25734193817169077,2.8945197053146763e-9,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
EIF2AK2,Fostamatinib,DB12010,inhibitor,0.25734193817169077,2.8945197053146763e-9,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
CYSLTR1,Montelukast,DB00471,antagonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CYSLTR1,Zafirlukast,DB00549,antagonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CYSLTR1,Cinalukast,DB00587,antagonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CYSLTR1,Nedocromil,DB00716,antagonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CYSLTR1,Pranlukast,DB01411,antagonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CYSLTR1,Leukotriene C4,DB08855,agonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CYSLTR1,Hydroquinone,DB09526,activator,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CYSLTR1,Leukotriene D4,DB11858,agonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CYSLTR1,LY-2300559,DB13016,modulator,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CYSLTR1,Masilukast,DB16227,modulator,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CYSLTR1,ZAFIRLUKAST,CHEMBL603,Cysteinyl leukotriene receptor 1 antagonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
CYSLTR1,PRANLUKAST,CHEMBL21333,Cysteinyl leukotriene receptor 1 antagonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
CYSLTR1,MONTELUKAST SODIUM,CHEMBL1200681,Cysteinyl leukotriene receptor 1 antagonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
CYSLTR1,CR-3465,CHEMBL5314389,Cysteinyl leukotriene receptor 1 antagonist,0.2535598163250621,4.998568959342821e-9,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
CMTR1,Ademetionine,DB00118,NA,0.2526051930044371,5.7296853038676455e-9,HALLMARK_IL6_JAK_STAT3_SIGNALING,DrugBank
OAS1,Cysteine-S-acetamide,DB02987,NA,0.2518030769801716,6.423289203419756e-9,HALLMARK_IL6_JAK_STAT3_SIGNALING,DrugBank
SLC7A3,Lysine,DB00123,NA,-0.2514744964119846,6.7303457074597454e-9,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
SLC7A3,Arginine,DB00125,NA,-0.2514744964119846,6.7303457074597454e-9,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
SLC7A3,Fluciclovine (18F),DB13146,binder,-0.2514744964119846,6.7303457074597454e-9,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
SIGLEC1,Beta-D-Glucose,DB02379,NA,0.24946916662635252,8.93687841876882e-9,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
SIGLEC1,N-acetyl-alpha-neuraminic acid,DB03721,NA,0.24946916662635252,8.93687841876882e-9,HALLMARK_TNFA_SIGNALING_VIA_NFKB,DrugBank
BLK,Fostamatinib,DB12010,inhibitor,0.24811092274066143,1.0814155048897627e-8,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
BLK,Zanubrutinib,DB15035,inhibitor,0.24811092274066143,1.0814155048897627e-8,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
