gene_name,drug_name,drug_id,mechanism,rho,p_val,pathway_associated,source
HGS,Citric acid,DB04272,NA,-0.3220706251538347,6.080879117347656e-14,HALLMARK_PI3K_AKT_MTOR_SIGNALING,DrugBank
G6PD,Prasterone,DB01708,inhibitor,-0.31845865233151677,1.1939728706234335e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
G6PD,Glycolic acid,DB03085,inhibitor,-0.31845865233151677,1.1939728706234335e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
G6PD,Nicotinamide adenine dinucleotide phosphate,DB03461,NA,-0.31845865233151677,1.1939728706234335e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
G6PD,16-Bromoepiandrosterone,DB05107,NA,-0.31845865233151677,1.1939728706234335e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
G6PD,Artenimol,DB11638,ligand,-0.31845865233151677,1.1939728706234335e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
PIK3CD,Caffeine,DB00201,inhibitor,-0.3108001442585165,4.845527244532088e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
PIK3CD,XL765,DB05241,NA,-0.3108001442585165,4.845527244532088e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
PIK3CD,TG100-115,DB05552,inhibitor,-0.3108001442585165,4.845527244532088e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
PIK3CD,2-((9H-PURIN-6-YLTHIO)METHYL)-5-CHLORO-3-(2-METHOXYPHENYL)QUINAZOLIN-4(3H)-ONE,DB06831,NA,-0.3108001442585165,4.845527244532088e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
PIK3CD,Wortmannin,DB08059,inhibitor,-0.3108001442585165,4.845527244532088e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
PIK3CD,Idelalisib,DB09054,inhibitor,-0.3108001442585165,4.845527244532088e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
PIK3CD,Buparlisib,DB11666,inhibitor,-0.3108001442585165,4.845527244532088e-13,HALLMARK_MYC_TARGETS_V2,DrugBank
