"pathway","diff_score","AveExpr","t_stat","p_val","padj","B"
"GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE",0.0109215184065949,0.424031536671606,13.9356493676535,4.91939879533003e-33,5.49693621390178e-29,62.4349318644095
"GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION",0.0121871175693534,0.4549003802021,13.6706635625271,3.95490572460813e-32,2.20960582833856e-28,60.3530983798451
"GOBP_INTERLEUKIN_27_MEDIATED_SIGNALING_PATHWAY",0.0242102788580476,0.483693337907505,13.4234624341307,2.75112437829226e-31,1.02470212676792e-27,58.4161802773749
"GOBP_VIRAL_GENOME_REPLICATION",0.00865386472411486,0.425763794971571,13.3284896973992,5.78816053144219e-31,1.61692264445838e-27,57.673518325875
"GOBP_REGULATION_OF_VIRAL_PROCESS",0.00873182571303441,0.431574328584416,13.0587767972921,4.76301153266314e-30,1.06443781731956e-26,55.5694215152086
"GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY",0.0173700287939575,0.474573203181231,13.0294133536473,5.98880975128252e-30,1.11531600268051e-26,55.340824092329
"GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY",0.0116511901785771,0.360859487105337,12.9824787668233,8.63440481663902e-30,1.31994682350066e-26,54.9756372851828
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION",0.0180585930716335,0.458351374724933,12.9708932919651,9.45012939681876e-30,1.31994682350066e-26,54.8855325625738
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS",0.0128768034790354,0.430310442456417,12.916883448129,1.43920433442045e-29,1.78685213697935e-26,54.4656847960999
"GOBP_MDA_5_SIGNALING_PATHWAY",0.0251219880211181,0.445895116101088,12.8808470063682,1.90517197252419e-29,2.12883916209853e-26,54.1857471097353
"GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE",0.0103658046878256,0.434669832339953,12.7413495907048,5.63443710910338e-29,5.72356365973829e-26,53.1036118376194
"GOBP_POSITIVE_REGULATION_OF_RIG_I_SIGNALING_PATHWAY",0.0171880887945109,0.431729893492755,12.6507019862395,1.13844483980359e-28,1.06008188666378e-25,52.4017558289913
