"pathway","diff_score","AveExpr","t_stat","p_val","padj","B"
"HP_ABNORMAL_TRICUSPID_VALVE_MORPHOLOGY",0.00031444025755957,0.308068745389293,0.547877438725258,0.584265992986778,0.6943090721721,-9.47400216210963
"HP_HYPERACUSIS",-0.00067303914939959,0.316520549149452,-0.547640752268212,0.58442828735445,0.694428081975609,-9.47413216706862
"HP_PEG_SHAPED_MAXILLARY_LATERAL_INCISORS",0.000492470883808355,0.224787897651932,0.547541176689195,0.584496571987963,0.694435374310845,-9.47418684427869
"GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION",-0.000523550190648356,0.274172668886034,-0.547206390120866,0.584726181539583,0.694634313472602,-9.47437060372124
"GOCC_SOLID_PHASE_OF_INTERSTITIAL_MATRIX",0.000792598397789234,0.0626203107671239,0.546234557486913,0.58539294077703,0.69529144109816,-9.47490339327975
"GOMF_ALANINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",0.000506677345536347,0.306799972859423,0.546218757856592,0.585403783591506,0.69529144109816,-9.47491204733462
"HP_VIRAL_HEPATITIS",-0.000841477277052471,0.470664133921279,-0.545585755830678,0.585838271150097,0.695709408292978,-9.47525856105342
"GOBP_RESPONSE_TO_WATER",-0.000808456742254965,0.28908155211262,-0.545524658466236,0.585880215861546,0.695709408292978,-9.47529198535063
"GOBP_NEGATIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS",-0.000331729226276584,0.392988889006865,-0.545326356230997,0.5860163644542,0.695797137011075,-9.4754004440526
"HP_SHORT_LOWER_LIMBS",0.000622802817574597,0.307739216752985,0.545018313018579,0.58622788731672,0.695974332009884,-9.47556884606678
"GOBP_AXIS_ELONGATION",0.000440337134792107,0.107727920014284,0.544814424628272,0.58636791017199,0.696066613009861,-9.47568025619273
"HP_MYOGLOBINURIA",0.000300814046927264,0.35615691003773,0.544333785390804,0.586698056789786,0.696384542869032,-9.47594272589032
"GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS",0.000250364243389728,0.283695800995213,0.544144159386017,0.586828332961394,0.696465193044144,-9.47604621416111
"HP_CEREBRAL_WHITE_MATTER_HYPOPLASIA",0.000416930212046279,0.407795282664045,0.543719583629106,0.58712007234005,0.696737435039052,-9.47627779566915
"HP_NAIL_PITS",0.000528159478867987,0.270745813192995,0.543500070808862,0.587270933005725,0.696795366888455,-9.47639745648957
"GOBP_LEUKOCYTE_DEGRANULATION",-0.000331487991363566,0.395799989426411,-0.543467080735673,0.587293607065999,0.696795366888455,-9.47641543587031
"GOMF_TRNA_SPECIFIC_RIBONUCLEASE_ACTIVITY",-0.000527359119150153,0.319830211904258,-0.542726666400556,0.587802600673924,0.697325221353692,-9.47681867055174
"HP_ABNORMALITY_OF_OCULAR_ABDUCTION",-0.000573822329441476,0.120560983502985,-0.542185882277745,0.58817448928394,0.697623245849829,-9.47711283869237
"GOCC_EXTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE",0.000469968686737085,0.324647093164018,0.542179785476819,0.588178682580208,0.697623245849829,-9.47711615347657
"GOCC_AXONEMAL_MICROTUBULE",-0.000370485282840498,0.0926855920955969,-0.541842295696196,0.588410825112667,0.697824512822006,-9.4772995860951
"HP_ENLARGED_JOINTS",-0.000493572321491997,0.192208756915188,-0.541610469541164,0.588570311530059,0.697939579861708,-9.47742552234634
"HP_EXERCISE_INDUCED_MUSCLE_CRAMPS",-0.000361263310974511,0.271013902241656,-0.54108050004891,0.588934983155448,0.698297909781301,-9.47771321876041
"GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT",-0.000775473490805137,-0.0350416858216903,-0.540564466301359,0.589290166387976,0.69864491450602,-9.47799308008577
"GOBP_REGULATION_OF_LAMELLIPODIUM_MORPHOGENESIS",0.000872450266957758,0.360779896708752,0.540467435551867,0.589356963228495,0.69864997953694,-9.47804567315566
"GOCC_STEREOCILIUM_TIP",0.000579896085633795,0.159944198667566,0.53970431146052,0.589882427141288,0.699198710181049,-9.47845897696767
"GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION",-0.000295126040115889,0.20493525458947,-0.539235258318683,0.590205510523059,0.69950746442349,-9.47871272446072
"GOBP_BRANCH_ELONGATION_OF_AN_EPITHELIUM",0.00054478431931269,0.0618259986402331,0.539073273773173,0.590317104374251,0.699560168783015,-9.47880030342504
"HP_LEUKEMIA",-0.000216022284071887,0.426698105599539,-0.538988962529516,0.590375191661342,0.699560168783015,-9.47884587696265
"GOBP_POSITIVE_REGULATION_OF_LYASE_ACTIVITY",0.00045461151900783,0.127234490296254,0.538019911072134,0.59104302179361,0.70027724796117,-9.4793691767038
"GOBP_RESPONSE_TO_TOXIC_SUBSTANCE",-0.000270930816302556,0.242628357151365,-0.537898946948967,0.591126409787033,0.700301792086547,-9.4794344328649
"GOBP_INTERLEUKIN_2_PRODUCTION",0.000357095784934508,0.415887707766534,0.537212206624047,0.591599925147436,0.700772357742987,-9.47980462918066
"HP_DELAYED_PUBERTY",0.000187996040047295,0.278711497946396,0.537140983310447,0.591649044473541,0.700772357742987,-9.47984299603
"HP_TIBIAL_BOWING",0.000455786867132935,0.1823305070232,0.536401614142886,0.592159063455935,0.701302106524284,-9.4802409824545
"GOBP_REGULATION_OF_MEMBRANE_LIPID_METABOLIC_PROCESS",-0.000417153597084857,0.289437033748248,-0.535975676743756,0.592452968421347,0.70157582335101,-9.48047000704289
"HP_LIMBAL_STEM_CELL_DEFICIENCY",0.000728911481682595,0.136743274855556,0.535831711492383,0.592552322421496,0.701619121621045,-9.48054737545537
"GOMF_XENOBIOTIC_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",0.000546559137474187,0.235548030817866,0.535366102061664,0.592873703690634,0.70192527707556,-9.4807974567869
"GOBP_NEUROTROPHIN_SIGNALING_PATHWAY",-0.00033970108621903,0.265583035037037,-0.534993099815589,0.593131221942372,0.70215576586334,-9.48099764181907
"GOBP_T_HELPER_17_TYPE_IMMUNE_RESPONSE",-0.000410428085832609,0.39688471828368,-0.534549650000355,0.593437443783246,0.702443855596821,-9.48123545394437
"GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY",-0.000499087342911014,0.153746182121507,-0.534374358064761,0.593558510749242,0.702512742200194,-9.48132940479382
